Year,Currency,FX Reserves
1999,Shares of Pound Sterlings (%),2.886658583
1999,Shares of Swiss Francs (%),0.229894413
1999,Shares of U.S. dollars (%),71.01393147
1999,Shares of Japanese Yen (%),6.373732003
1999,Shares of Euro (%),17.89879058
2000,Shares of Pound Sterlings (%),2.753366744
2000,Shares of Swiss Francs (%),0.269196284
2000,Shares of U.S. dollars (%),71.13749895
2000,Shares of Japanese Yen (%),6.065471545
2000,Shares of Euro (%),18.29249301
2001,Shares of Pound Sterlings (%),2.701065252
2001,Shares of Swiss Francs (%),0.245228238
2001,Shares of U.S. dollars (%),71.51797165
2001,Shares of Japanese Yen (%),5.044638109
2001,Shares of Euro (%),19.18386586
2002,Shares of Pound Sterlings (%),2.921576545
2002,Shares of Swiss Francs (%),0.407286761
2002,Shares of U.S. dollars (%),66.50121555
2002,Shares of Japanese Yen (%),4.941147884
2002,Shares of Euro (%),23.65011203
2003,Shares of Pound Sterlings (%),2.861346193
2003,Shares of Swiss Francs (%),0.225627255
2003,Shares of U.S. dollars (%),65.44987397
2003,Shares of Japanese Yen (%),4.423690275
2003,Shares of Euro (%),25.03291824
2004,Shares of Pound Sterlings (%),3.492915088
2004,Shares of Swiss Francs (%),0.166429604
2004,Shares of U.S. dollars (%),65.50728748
2004,Shares of Japanese Yen (%),4.284125453
2004,Shares of Euro (%),24.67974703
2005,Shares of Pound Sterlings (%),3.747468326
2005,Shares of Swiss Francs (%),0.145704684
2005,Shares of U.S. dollars (%),66.51516123
2005,Shares of Japanese Yen (%),3.960160082
2005,Shares of Euro (%),23.88982732
2006,Shares of Pound Sterlings (%),4.520329382
2006,Shares of Swiss Francs (%),0.172106501
2006,Shares of U.S. dollars (%),65.04470669
2006,Shares of Japanese Yen (%),3.460882287
2006,Shares of Euro (%),24.99471702
2007,Shares of Pound Sterlings (%),4.824119545
2007,Shares of Swiss Francs (%),0.155113553
2007,Shares of U.S. dollars (%),63.87450608
2007,Shares of Japanese Yen (%),3.178042226
2007,Shares of Euro (%),26.13362343
2008,Shares of Pound Sterlings (%),4.217668382
2008,Shares of Swiss Francs (%),0.137766664
2008,Shares of U.S. dollars (%),63.76522114
2008,Shares of Japanese Yen (%),3.467494577
2008,Shares of Euro (%),26.21457899
2009,Shares of Pound Sterlings (%),4.253099343
2009,Shares of Swiss Francs (%),0.115657677
2009,Shares of U.S. dollars (%),62.15416811
2009,Shares of Japanese Yen (%),2.902318885
2009,Shares of Euro (%),27.70483876
2010,Shares of Pound Sterlings (%),3.941695458
2010,Shares of Swiss Francs (%),0.128593019
2010,Shares of U.S. dollars (%),62.24717411
2010,Shares of Japanese Yen (%),3.663153316
2010,Shares of Euro (%),25.76203851
2011,Shares of Pound Sterlings (%),3.83784163
2011,Shares of Swiss Francs (%),0.077215006
2011,Shares of U.S. dollars (%),62.69914286
2011,Shares of Japanese Yen (%),3.613587677
2011,Shares of Euro (%),24.44923335
2012,Shares of Pound Sterlings (%),4.042265496
2012,Shares of Swiss Francs (%),0.212705312
2012,Shares of U.S. dollars (%),61.4971891
2012,Shares of Japanese Yen (%),4.089080122
2012,Shares of Euro (%),24.07232583
2013,Shares of Pound Sterlings (%),3.986656451
2013,Shares of Swiss Francs (%),0.268448958
2013,Shares of U.S. dollars (%),61.27682645
2013,Shares of Japanese Yen (%),3.824018263
2013,Shares of Euro (%),24.21416523
2014,Shares of Pound Sterlings (%),3.702014937
2014,Shares of Swiss Francs (%),0.239978902
2014,Shares of U.S. dollars (%),65.17142005
2014,Shares of Japanese Yen (%),3.545535244
2014,Shares of Euro (%),21.21499743
2015,Shares of Pound Sterlings (%),4.716840037
2015,Shares of Swiss Francs (%),0.267409242
2015,Shares of U.S. dollars (%),65.74858154
2015,Shares of Japanese Yen (%),3.754315034
2015,Shares of Euro (%),19.14786551
2016,Shares of Pound Sterlings (%),4.346218268
2016,Shares of Swiss Francs (%),0.162682813
2016,Shares of U.S. dollars (%),65.36031192
2016,Shares of Japanese Yen (%),3.953005709
2016,Shares of Euro (%),19.13822141
2017,Shares of Pound Sterlings (%),4.542132142
2017,Shares of Swiss Francs (%),0.175814569
2017,Shares of U.S. dollars (%),62.72699317
2017,Shares of Japanese Yen (%),4.896863992
2017,Shares of Euro (%),20.16818727
2018,Shares of Pound Sterlings (%),4.427241279
2018,Shares of Swiss Francs (%),0.137815387
2018,Shares of U.S. dollars (%),61.76146454
2018,Shares of Japanese Yen (%),5.192001083
2018,Shares of Euro (%),20.67436152
2019,Shares of Pound Sterlings (%),4.638180826
2019,Shares of Swiss Francs (%),0.14961232
2019,Shares of U.S. dollars (%),60.74771626
2019,Shares of Japanese Yen (%),5.868763558
2019,Shares of Euro (%),20.58844684
2020,Shares of Pound Sterlings (%),4.73169491
2020,Shares of Swiss Francs (%),0.174794502
2020,Shares of U.S. dollars (%),58.92293392
2020,Shares of Japanese Yen (%),6.029352708
2020,Shares of Euro (%),21.29403955
2021,Shares of Pound Sterlings (%),4.808894183
2021,Shares of Swiss Francs (%),0.172547584
2021,Shares of U.S. dollars (%),58.81155001
2021,Shares of Japanese Yen (%),5.520385254
2021,Shares of Euro (%),20.59523383
