date, GDP ( Billions of US $),Totals,Totals (Billions of US$), Per Capita (US $),Credit/GDP Ratio, Annual % Change,Years
31/12/2021,96100.091,"109,023,819,611",109,12262.9346,0.113448196,5.8021,2021
31/12/2020,84906.81419,"104,029,375,706",104,10936.0575,0.122521822,-3.2712,2020
31/12/2019,87652.86322,"105,890,446,969",106,11407.4793,0.120806604,2.6149,2019
31/12/2018,86413.03278,"73,536,345,315",74,11366.0737,0.085098674,3.2766,2018
31/12/2017,81403.97743,"61,821,792,421",62,10825.9024,0.075944437,3.3795,2017
31/12/2016,76465.59001,"46,107,666,542",46,10286.4113,0.060298582,2.7989,2016
31/12/2015,75179.26627,"55,750,278,788",56,10231.7026,0.074156455,3.0811,2015
31/12/2014,79708.81224,"57,333,751,899",57,10976.3835,0.071929,3.0559,2014
31/12/2013,77607.19847,"75,334,319,046",75,10815.58,0.097071303,2.8198,2013
31/12/2012,75488.06418,"90,073,641,743",90,10648.2372,0.1193217,2.7072,2012
31/12/2011,73853.78405,"95,808,640,755",96,10544.8758,0.129727464,3.321,2011
31/12/2010,66596.05101,"92,585,525,384",93,9621.1283,0.139025549,4.5323,2010
31/12/2009,60809.11183,"60,439,448,644",60,8890.8011,0.099392092,-1.3258,2009
31/12/2008,64123.70427,"42,300,847,722",42,9489.966,0.065967567,2.0664,2008
31/12/2007,58355.01509,"21,487,336,753",21,8743.396,0.036821748,4.4774,2007
31/12/2006,51779.84559,"9,833,092,338",10,7854.1044,0.018990192,4.4762,2006
31/12/2005,47779.71479,"13,666,660,759",14,7337.4898,0.028603479,4.0431,2005
31/12/2004,44117.60113,"34,714,264,905",35,6859.584,0.078685749,4.4936,2004
31/12/2003,39146.98839,"62,139,796,027",62,6163.079,0.15873455,3.1508,2003
31/12/2002,34911.42705,"71,912,955,980",72,5565.5925,0.20598687,2.3289,2002
31/12/2001,33615.43597,"70,469,729,806",70,5427.3912,0.209635032,1.9968,2001
31/12/2000,33830.8788,"59,901,804,093",60,5533.053,0.177062513,4.4873,2000
31/12/1999,32737.37497,"49,322,126,517",49,5425.0493,0.150659992,3.5232,1999
31/12/1998,31539.9579,"57,496,136,237",57,5297.2682,0.182296173,2.7943,1998
31/12/1997,31620.44366,"66,739,842,976",67,5384.6921,0.211065486,3.9047,1997
31/12/1996,31736.66005,"52,568,901,205",53,5481.6149,0.165640937,3.6207,1996
31/12/1995,31043.64788,"42,009,082,557",42,5439.8087,0.135322636,3.0908,1995
31/12/1994,27872.25513,"41,586,611,940",42,4957.6365,0.149204331,3.3065,1994
31/12/1993,25821.97892,"30,211,445,450",30,4662.7868,0.116998955,1.8082,1993
31/12/1992,25406.10611,"29,139,537,930",29,4659.4677,0.114695018,2.0701,1992
31/12/1991,23759.57245,"27,771,636,514",28,4426.0346,0.116886095,1.4603,1991
31/12/1990,22779.97868,"26,664,291,722",27,4314.3387,0.117051434,2.8682,1990
31/12/1989,20194.0038,"23,303,762,710",23,3890.9621,0.115399417,3.7536,1989
31/12/1988,19337.99747,"24,649,990,786",25,3790.8071,0.127469201,4.6402,1988
31/12/1987,17307.238,"26,523,969,177",27,3452.7768,0.153253622,3.7315,1987
31/12/1986,15205.31553,"30,618,322,055",31,3087.5317,0.20136591,3.4437,1986
31/12/1985,12860.09446,"35,348,075,575",35,2657.4963,0.274866376,3.6995,1985
31/12/1984,12269.79237,"37,665,035,197",38,2579.8572,0.306973697,4.6757,1984
