Date,Rate Hike
2022-01-04,null
2022-01-05,null
2022-01-06,null
2022-01-07,null
2022-01-10,null
2022-01-11,null
2022-01-12,null
2022-01-13,null
2022-01-14,null
2022-01-18,null
2022-01-19,null
2022-01-20,null
2022-01-21,null
2022-01-24,null
2022-01-25,null
2022-01-26,null
2022-01-27,null
2022-01-28,null
2022-01-31,null
2022-02-01,null
2022-02-02,null
2022-02-03,null
2022-02-04,null
2022-02-07,null
2022-02-08,null
2022-02-09,null
2022-02-10,null
2022-02-11,null
2022-02-14,null
2022-02-15,null
2022-02-16,null
2022-02-17,null
2022-02-18,null
2022-02-22,null
2022-02-23,null
2022-02-24,null
2022-02-25,null
2022-02-28,null
2022-03-01,null
2022-03-02,null
2022-03-03,null
2022-03-04,null
2022-03-07,null
2022-03-08,null
2022-03-09,null
2022-03-10,null
2022-03-11,null
2022-03-14,null
2022-03-15,null
2022-03-16,null
2022-03-17,100
2022-03-18,null
2022-03-21,null
2022-03-22,null
2022-03-23,null
2022-03-24,null
2022-03-25,null
2022-03-28,null
2022-03-29,null
2022-03-30,null
2022-03-31,null
2022-04-01,null
2022-04-04,null
2022-04-05,null
2022-04-06,null
2022-04-07,null
2022-04-08,null
2022-04-11,null
2022-04-12,null
2022-04-13,null
2022-04-14,null
2022-04-18,null
2022-04-19,null
2022-04-20,null
2022-04-21,null
2022-04-22,null
2022-04-25,null
2022-04-26,null
2022-04-27,null
2022-04-28,null
2022-04-29,null
2022-05-02,null
2022-05-03,null
2022-05-04,null
2022-05-05,100
2022-05-06,null
2022-05-09,null
2022-05-10,null
2022-05-11,null
2022-05-12,null
2022-05-13,null
2022-05-16,null
2022-05-17,null
2022-05-18,null
2022-05-19,null
2022-05-20,null
2022-05-23,null
2022-05-24,null
2022-05-25,null
2022-05-26,null
2022-05-27,null
2022-05-31,null
2022-06-01,null
2022-06-02,null
2022-06-03,null
2022-06-06,null
2022-06-07,null
2022-06-08,null
2022-06-09,null
2022-06-10,null
2022-06-13,null
2022-06-14,null
2022-06-15,null
2022-06-16,100
2022-06-17,null
2022-06-21,null
2022-06-22,null
2022-06-23,null
2022-06-24,null
2022-06-27,null
2022-06-28,null
2022-06-29,null
2022-06-30,null
2022-07-01,null
2022-07-05,null
2022-07-06,null
2022-07-07,null
2022-07-08,null
2022-07-11,null
2022-07-12,null
2022-07-13,null
2022-07-14,null
2022-07-15,null
2022-07-18,null
2022-07-19,null
2022-07-20,null
2022-07-21,null
2022-07-22,null
2022-07-25,null
2022-07-26,null
2022-07-27,100
2022-07-28,null
2022-07-29,null
2022-08-01,null
2022-08-02,null
2022-08-03,null
2022-08-04,null
2022-08-05,null
2022-08-08,null
2022-08-09,null
2022-08-10,null
2022-08-11,null
2022-08-12,null
2022-08-15,null
2022-08-16,null
2022-08-17,null
2022-08-18,null
2022-08-19,null
2022-08-22,null
2022-08-23,null
2022-08-24,null
2022-08-25,null
2022-08-26,null
2022-08-29,null
2022-08-30,null
2022-08-31,null
2022-09-01,null
2022-09-02,null
2022-09-06,null
2022-09-07,null
2022-09-08,null
2022-09-09,null
2022-09-12,null
2022-09-13,null
2022-09-14,null
2022-09-15,null
2022-09-16,null
2022-09-19,null
2022-09-20,null
2022-09-21,100
2022-09-22,null
2022-09-23,null
2022-09-26,null
2022-09-27,null
2022-09-28,null
2022-09-29,null
2022-09-30,null
2022-10-03,null
2022-10-04,null
2022-10-05,null
2022-10-06,null
2022-10-07,null
2022-10-11,null
2022-10-12,null
2022-10-13,null
2022-10-14,null
2022-10-17,null
2022-10-18,null
2022-10-19,null
2022-10-20,null
2022-10-21,null
2022-10-24,null
2022-10-25,null
2022-10-26,null
2022-10-27,null
2022-10-28,null
2022-10-31,null
2022-11-01,null
2022-11-02,100
2022-11-03,null
2022-11-04,null
2022-11-07,null
2022-11-08,null
2022-11-09,null
2022-11-10,null
2022-11-14,null
2022-11-15,null
2022-11-16,null
2022-11-17,null
2022-11-18,null
2022-11-21,null
2022-11-22,null
2022-11-23,null
2022-11-25,null
2022-11-28,null
2022-11-29,null
2022-11-30,null
2022-12-01,null
2022-12-02,null
2022-12-05,null
2022-12-06,null
2022-12-07,null
2022-12-08,null
2022-12-09,null
2022-12-12,null
2022-12-13,null
2022-12-14,100
2022-12-15,null
2022-12-16,null
